dataset,method,config,feature_set,split_policy,seed,precision,recall,f1,fpr,accuracy,weighted_f1,roc_auc,tp,fp,fn,tn,threshold,threshold_selected_on,n_train,n_test,inference_latency_ms,model_size_kb,notes
ncsrd,proposed,P6,saurabh49,project_standard,42,0.127459,0.747015,0.217763,0.339645,0.665753,0.751988,0.807885,4004,27410,1356,53292,0.09,validation_constrained,296846,86062,0.007558,0.0,Proposed XGBoost pipeline (train_time=80.96s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.127459,0.747015,0.217763,0.339645,0.665753,0.751988,0.807885,4004,27410,1356,53292,0.09,validation_constrained,296846,86062,0.007466,0.0,Proposed XGBoost pipeline (train_time=91.54s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.067776,0.46903,0.118437,0.428478,0.565139,0.674456,0.53005,2514,34579,2846,46123,0.22,validation_constrained,296846,86062,0.007116,0.0,Proposed XGBoost pipeline (train_time=119.18s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.067776,0.46903,0.118437,0.428478,0.565139,0.674456,0.53005,2514,34579,2846,46123,0.22,validation_constrained,296846,86062,0.00755,0.0,Proposed XGBoost pipeline (train_time=125.25s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.098291,0.654664,0.170921,0.398887,0.604448,0.704805,0.654018,3509,32191,1851,48511,0.42,validation_constrained,296846,86062,0.00644,0.0,Proposed XGBoost pipeline (train_time=83.74s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.184847,0.313619,0.2326,0.091856,0.871116,0.886238,0.824415,1681,7413,3679,73289,0.42,validation_constrained,296846,86062,0.001768,0.0,Proposed XGBoost pipeline (train_time=84.23s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.916424,0.996269,0.95468,0.006035,0.994109,0.994223,0.999826,5340,487,20,80215,0.42,validation_constrained,296846,86062,0.001376,0.0,Proposed XGBoost pipeline (train_time=78.79s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.916424,0.996269,0.95468,0.006035,0.994109,0.994223,0.999826,5340,487,20,80215,0.42,validation_constrained,296846,86062,0.001433,0.0,Proposed XGBoost pipeline (train_time=75.24s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.998806,0.780037,0.875969,6.2e-05,0.986242,0.985446,0.999826,4181,5,1179,80697,0.86,validation_constrained,296846,86062,0.001374,0.0,Proposed XGBoost pipeline (train_time=79.43s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.990135,0.973694,0.981846,0.000644,0.997757,0.997749,0.999826,5219,52,141,80650,0.57,validation_constrained,296846,86062,0.001642,0.0,Proposed XGBoost pipeline (train_time=88.87s)
ncsrd,proposed,P6,saurabh49,project_standard,42,0.976766,0.988246,0.982472,0.001561,0.997804,0.99781,0.999826,5297,126,63,80576,0.51,validation_constrained,296846,86062,0.001693,0.0,Proposed XGBoost pipeline (train_time=88.43s)
